objectID,sourceMuseum,sourceObjectID,title,objectName,department,culture,period,objectDate,medium,creditLine,accessionYear,excavation,productionPlace,findspot,primaryImage,objectURL
bm:A_1830-0612-4,bm,A_1830-0612-4,Figure,figure,Asia,Buddhist,Buddhist,8thC (circa),bronze,From: Sir Robert Brownrigg,1830,Found/Acquired: Trincomalee (near),Made in: Sri Lanka,Found/Acquired: Trincomalee (near),http://media.britishmuseum.org/media/Repository/Documents/2014_10/1_6/68b2cd63_7ab2_4aa7_930a_a3b7006954bd/preview_00031550_001.jpg,https://www.britishmuseum.org/collection/object/A_1830-0612-4
bm:A_1859-1228-121,bm,A_1859-1228-121,Bell,bell,Asia,,,14thC (possibly),bronze,Donated by: Rev William Charles Raffles Flint,1859,Field Collection by: Sir Thomas Stamford Raffles — Found/Acquired: Kedu,Made in: Java,Found/Acquired: Kedu,http://media.britishmuseum.org/media/Repository/Documents/2017_3/27_16/82b8fd6a_76c7_42ca_9ac3_a74301118836/preview_1859_1228_121.jpg,https://www.britishmuseum.org/collection/object/A_1859-1228-121
bm:A_1880-0709-40,bm,A_1880-0709-40,Block,block,Asia,,,3rdC,limestone,Transferred from: India Museum,1880,"Excavated by: Sir Walter Elliot KCSI, FRS, LL.D (hon.) — Found/Acquired: Amaravati","Made in: Amaravati , Buddhist stupa",Found/Acquired: Amaravati,http://media.britishmuseum.org/media/Repository/Documents/2014_10/5_5/6cb672eb_0f39_450a_99f1_a3bb005968a9/preview_00303744_001.jpg,https://www.britishmuseum.org/collection/object/A_1880-0709-40
bm:A_1880-28,bm,A_1880-28,Reliquary,reliquary,Asia,Buddhist,Buddhist,1stC (late)-2ndC (found with coins of Kujula Kadphises (c. AD 40-90)),steatite,Transferred from: India Museum,1880,Excavated by: Charles Masson — Excavated/Findspot: Bimaran Stupa 5,Made in: Darunta,Excavated/Findspot: Bimaran Stupa 5,http://media.britishmuseum.org/media/Repository/Documents/2014_10/9_15/c5d550d9_7fd1_4986_b421_a3bf0100debc/preview_00523766_001.jpg,https://www.britishmuseum.org/collection/object/A_1880-28
bm:A_1880-3633,bm,A_1880-3633,Signet-Ring,signet-ring,Asia,Kushan (?),Kushan (?),3rdC-4thC (circa),copper alloy,Transferred from: India Museum,1880,Field Collection by: Charles Masson — Found/Acquired: Begram (?),Made in: Afghanistan,Found/Acquired: Begram (?),http://media.britishmuseum.org/media/Repository/Documents/2014_10/12_22/3df23174_6780_4712_8955_a3c20177006f/preview_00771673_001.jpg,https://www.britishmuseum.org/collection/object/A_1880-3633
bm:A_1890-0208-1,bm,A_1890-0208-1,Adze,adze,Asia,Neolithic (phase),Neolithic (phase),4500BC-500BC,schist,Purchased from: Henry Jammes (Price for the group £19 12s.),1890,Found/Acquired: Cambodia,Made in: Cambodia,Found/Acquired: Cambodia,http://media.britishmuseum.org/media/Repository/Documents/2014_11/4_18/adb9bba8_8396_4677_a684_a3d9012bfa87/preview_01183546_001.jpg,https://www.britishmuseum.org/collection/object/A_1890-0208-1
bm:A_1891-1215-1,bm,A_1891-1215-1,"Bottle (백자반구병
白磁盤口甁)","bottle (백자반구병
白磁盤口甁)",Asia,Joseon Dynasty,Joseon Dynasty,18thC-19thC,ceramic,"Donated by: Dr W G K Barnes, RN",1891,Found/Acquired: Korea,,Found/Acquired: Korea,,https://www.britishmuseum.org/collection/object/A_1891-1215-1
bm:A_1927-0613-1,bm,A_1927-0613-1,Altar-Piece,altar-piece,Asia,,,18thC-19thC,metal,Purchased from: Dr Walter Leo Hildburgh (price £50),1927,Found/Acquired: Nepal,,Found/Acquired: Nepal,,https://www.britishmuseum.org/collection/object/A_1927-0613-1
bm:A_1950-1211-2,bm,A_1950-1211-2,Architecture,architecture,Asia,Kushan,Kushan,2ndC-3rdC,schist,Donated by: Aubrey Turnbull,1950,Found/Acquired: Takht-i-Bahi,Made in: Gandhara (historic - Pakistan),Found/Acquired: Takht-i-Bahi,http://media.britishmuseum.org/media/Repository/Documents/2025_6/30_16/148b2e41_b4d7_43d5_b734_b30c010c31d7/preview_1950_1211_2_2.jpg,https://www.britishmuseum.org/collection/object/A_1950-1211-2
bm:A_1958-1112-1,bm,A_1958-1112-1,Axe,axe,Asia,Neolithic,Neolithic,4500BC-500BC (?),stone,Donated by: Christopher Pym,1958,Found/Acquired: Oc-eo,Made in: Vietnam (?),Found/Acquired: Oc-eo,http://media.britishmuseum.org/media/Repository/Documents/2024_6/16_6/6928f269_4e55_42a5_9697_b1910066ce20/preview_IMG_1307.jpg,https://www.britishmuseum.org/collection/object/A_1958-1112-1
bm:A_1959-1012-1,bm,A_1959-1012-1,Figure,figure,Asia,Saiva,Saiva,11thC-12thC,basalt,Purchased from: Rev M G Patterson,1959,Found/Acquired: Rajshahi (town),,Found/Acquired: Rajshahi (town),,https://www.britishmuseum.org/collection/object/A_1959-1012-1
bm:A_2004-0628-24,bm,A_2004-0628-24,Altar,altar,Asia,Ratnakosin period,Ratnakosin period,19thC (circa),wood,Donated by: Doris Duke Charitable Foundation,2004,,Made in: Thailand,,http://media.britishmuseum.org/media/Repository/Documents/2014_10/1_14/b72e5816_489d_4eaf_863e_a3b700e7f95e/preview_00071345_001.jpg,https://www.britishmuseum.org/collection/object/A_2004-0628-24
bm:A_As-3573_1,bm,A_As-3573_1,Book,book,Asia,Qianlong (reign),Qianlong (reign),1748,jade,Bequeathed by: Henry Christy,1865,Found/Acquired: Yuanmingyuan,Made in: China,Found/Acquired: Yuanmingyuan,http://media.britishmuseum.org/media/Repository/Documents/2014_10/5_4/845dcf2a_7a33_41e7_b58a_a3bb00475d55/preview_00298454_001.jpg,https://www.britishmuseum.org/collection/object/A_As-3573_1
bm:A_As1859-1228-195-l-m,bm,A_As1859-1228-195-l-m,Gong-Stand,gong-stand,Asia,,,1800 (about),wood,,,Field Collection by: Sir Thomas Stamford Raffles — Found/Acquired: Java,Made in: Java,Found/Acquired: Java,http://media.britishmuseum.org/media/Repository/Documents/2014_10/16_11/fb952c8d_7faf_4e15_ab3c_a3c600c2ce47/preview_01003837_001.jpg,https://www.britishmuseum.org/collection/object/A_As1859-1228-195-l-m
bm:A_As1903-1006-8,bm,A_As1903-1006-8,Cap,cap,Asia,,,,silk,Donated by: C W Campbell,1903,Found/Acquired: Mongolia (?),,Found/Acquired: Mongolia (?),http://media.britishmuseum.org/media/Repository/Documents/2014_10/6_8/ea2b7479_58b9_403b_9b51_a3bc0091a285/preview_00396461_001.jpg,https://www.britishmuseum.org/collection/object/A_As1903-1006-8
bm:A_As1905-0518-47,bm,A_As1905-0518-47,Robe,robe,Asia,Buddhist,Buddhist,1905 (circa),wool,,1905,Found/Acquired: Lhasa,Made in: Tibet,Found/Acquired: Lhasa,http://media.britishmuseum.org/media/Repository/Documents/2014_10/6_15/ba485a1a_8f72_44a5_b345_a3bc00f7c266/preview_00426839_001.jpg,https://www.britishmuseum.org/collection/object/A_As1905-0518-47
bm:A_As1909-0622-1,bm,A_As1909-0622-1,Head-Dress,head-dress,Asia,,,,bark,Purchased from: Marie Stopes (price for the group £15),1909,,Made in: Hokkaido,,http://media.britishmuseum.org/media/Repository/Documents/2014_10/9_10/b3b446e7_ed24_4bf0_a368_a3bf00af1246/preview_00503614_001.jpg,https://www.britishmuseum.org/collection/object/A_As1909-0622-1
bm:A_As1919-1230-3,bm,A_As1919-1230-3,Bag,bag,Asia,,,1850s-1910s,cotton,Donated by: L Lacy Langley,1919,Found/Acquired: Mandalay Region,Made in: Kachin State,Found/Acquired: Mandalay Region,http://media.britishmuseum.org/media/Repository/Documents/2014_10/8_17/19a55edd_4c54_4faf_b362_a3be01285e90/preview_00452716_001.jpg,https://www.britishmuseum.org/collection/object/A_As1919-1230-3
bm:A_As1924-0714-1,bm,A_As1924-0714-1,Figure,figure,Asia,Khmer,Khmer,13thC-14thC,sandstone,Purchased from: Henri Sambuc (price not recorded),1924,Found/Acquired: Angkor,Made in: Cambodia,Found/Acquired: Angkor,http://media.britishmuseum.org/media/Repository/Documents/2014_11/8_12/43211d2a_a028_46b0_b350_a3dd00c761a1/preview_01358628_001.jpg,https://www.britishmuseum.org/collection/object/A_As1924-0714-1
bm:C_1908-0110-4,bm,C_1908-0110-4,Coin,coin,Money and Medals,Roman Provincial,Roman Provincial,67-68 (year 2),silver,Purchased from: Leo Hamburger,1908,,Minted in: Jerusalem,,,https://www.britishmuseum.org/collection/object/C_1908-0110-4
bm:C_1953-0402-17,bm,C_1953-0402-17,Coin,coin,Money and Medals,Aksumite,Aksumite,,alloy,,1953,,Minted in: Aksum (town),,,https://www.britishmuseum.org/collection/object/C_1953-0402-17
bm:E_2018-Q-101,bm,E_2018-Q-101,Adze,adze,"Africa, Oceania and the Americas",,,19thC (before 1895),stone,Purchased from: Miss Gertrude Ellen Meinertzhagen (Probably),1895,Field Collection by: Frederick Huth Meinertzhagen — Found/Acquired: New Zealand,Made in: New Zealand,Found/Acquired: New Zealand,http://media.britishmuseum.org/media/Repository/Documents/2018_5/22_14/8aa5d35f_cbab_48a8_9542_a8e800f1fb48/preview_EOC31109_front.jpg,https://www.britishmuseum.org/collection/object/E_2018-Q-101
bm:E_Af-5913,bm,E_Af-5913,Adze,adze,"Africa, Oceania and the Americas",,,1888 (circa),iron,Donated by: Sir Augustus Wollaston Franks,1892,Found/Acquired: Atlas Mountains,Made in: Morocco,Found/Acquired: Atlas Mountains,http://media.britishmuseum.org/media/Repository/Documents/2019_1/18_11/f9a31655_d4ea_4ba5_b4d6_a9d900bdb512/preview_EAF14353.jpg,https://www.britishmuseum.org/collection/object/E_Af-5913
bm:E_Af1868-1001-4,bm,E_Af1868-1001-4,Necklace,necklace,"Africa, Oceania and the Americas",,,19thC,silver,,1868,Field Collection by: Sir Richard Rivington Holmes — Found/Acquired: Maqdala,Made in: Ethiopia,Found/Acquired: Maqdala,http://media.britishmuseum.org/media/Repository/Documents/2014_10/8_18/6394b5a1_1f6d_4892_aaf3_a3be012b3b55/preview_00453652_001.jpg,https://www.britishmuseum.org/collection/object/E_Af1868-1001-4
bm:E_Af1886-1126-2,bm,E_Af1886-1126-2,Armlet,armlet,"Africa, Oceania and the Americas",,,1886 (circa),elephant tissue,Purchased from: Thomas Joshua Alldridge,1886,"Found/Acquired: Sherbro, River",Made in: Sierra Leone,"Found/Acquired: Sherbro, River",http://media.britishmuseum.org/media/Repository/Documents/2014_10/9_18/4dd94f23_4ad4_4b95_a756_a3bf01341f56/preview_00537405_001.jpg,https://www.britishmuseum.org/collection/object/E_Af1886-1126-2
bm:E_Af1887-1211-51,bm,E_Af1887-1211-51,Arrow,arrow,"Africa, Oceania and the Americas",,,1887 (or soon before),iron,Donated by: Commander Charles Cross,1887,Found/Acquired: Zanzibar (island),Made in: Zanzibar (island) (probably),Found/Acquired: Zanzibar (island),http://media.britishmuseum.org/media/Repository/Documents/2014_11/11_13/c388368c_f25d_409a_88aa_a3e000de2625/preview_01591152_001.jpg,https://www.britishmuseum.org/collection/object/E_Af1887-1211-51
bm:E_Af1893-0804-88,bm,E_Af1893-0804-88,Anklet,anklet,"Africa, Oceania and the Americas",,,1889-1893 (circa),skin,Donated by: Sir Harry Johnston,1893,Found/Acquired: Angoniland,Made in: Malawi,Found/Acquired: Angoniland,http://media.britishmuseum.org/media/Repository/Documents/2014_11/10_23/c84bbaa1_637b_414e_9872_a3df017b7ff6/preview_01559939_001.jpg,https://www.britishmuseum.org/collection/object/E_Af1893-0804-88
bm:E_Af1898-0115-27,bm,E_Af1898-0115-27,Series: Benin Plaques,plaque,"Africa, Oceania and the Americas",,,16thC-17thC,brass,Donated by: Secretary of State for Foreign Affairs,1898,Found/Acquired: Benin City,Made in: Benin City,Found/Acquired: Benin City,http://media.britishmuseum.org/media/Repository/Documents/2019_5/21_12/db790062_2c20_438a_902e_aa5400d272c2/preview_EAF26485_F.jpg,https://www.britishmuseum.org/collection/object/E_Af1898-0115-27
bm:E_Af1898-0115-28,bm,E_Af1898-0115-28,Series: Benin Plaques,plaque,"Africa, Oceania and the Americas",,,16thC-17thC,brass,Donated by: Secretary of State for Foreign Affairs,1898,Found/Acquired: Benin City,Made in: Benin City,Found/Acquired: Benin City,http://media.britishmuseum.org/media/Repository/Documents/2019_6/7_12/dcca2f88_cc50_43d0_b382_aa6500d5f01d/preview_07_06_2019_13_25_03.jpg,https://www.britishmuseum.org/collection/object/E_Af1898-0115-28
bm:E_Af1898-0115-29,bm,E_Af1898-0115-29,Series: Benin Plaques,plaque,"Africa, Oceania and the Americas",,,16thC-17thC,brass,Donated by: Secretary of State for Foreign Affairs,1898,Found/Acquired: Benin City,Made in: Benin City,Found/Acquired: Benin City,http://media.britishmuseum.org/media/Repository/Documents/2014_10/8_15/8e01a78d_73ca_4641_9daf_a3be0105f79f/preview_00442551_001.jpg,https://www.britishmuseum.org/collection/object/E_Af1898-0115-29
bm:E_Af1898-0115-30,bm,E_Af1898-0115-30,Series: Benin Plaques,plaque,"Africa, Oceania and the Americas",,,16thC-17thC,brass,Donated by: Secretary of State for Foreign Affairs,1898,Found/Acquired: Benin City,Made in: Benin City,Found/Acquired: Benin City,http://media.britishmuseum.org/media/Repository/Documents/2019_6/12_8/7ae7cf4a_6720_4cb6_bbf8_aa6a008412a0/preview_EAF26488_F.jpg,https://www.britishmuseum.org/collection/object/E_Af1898-0115-30
bm:E_Af1898-0115-32,bm,E_Af1898-0115-32,Series: Benin Plaques,plaque,"Africa, Oceania and the Americas",,,16thC-17thC,brass,Donated by: Secretary of State for Foreign Affairs,1898,Found/Acquired: Benin City,Made in: Benin City,Found/Acquired: Benin City,http://media.britishmuseum.org/media/Repository/Documents/2019_7/19_16/43c99dba_4a62_4460_9bd4_aa8f0109a366/preview_EAF26490_F.jpg,https://www.britishmuseum.org/collection/object/E_Af1898-0115-32
bm:E_Af1900-0524-37,bm,E_Af1900-0524-37,Armlet,armlet,"Africa, Oceania and the Americas",,,1896 (before),silver,Purchased from: Rev A N Johnson,1900,Field Collection by: Rev W J Edmonds — Found/Acquired: Madagascar,Made in: Madagascar,Found/Acquired: Madagascar,http://media.britishmuseum.org/media/Repository/Documents/2025_5/29_12/fb668145_dd8f_4c43_9770_b2ec00ce573e/preview_EAF33766.jpg,https://www.britishmuseum.org/collection/object/E_Af1900-0524-37
bm:E_Af1900-55,bm,E_Af1900-55,Bangle,bangle,"Africa, Oceania and the Americas",,,1900 (c.),iron,Donated by: Sir Charles Hercules Read,1900,Found/Acquired: Namibia,Made in: Namibia,Found/Acquired: Namibia,http://media.britishmuseum.org/media/Repository/Documents/2014_11/10_19/130403fa_95d1_4272_b170_a3df013cac22/preview_01540020_001.jpg,https://www.britishmuseum.org/collection/object/E_Af1900-55
bm:E_Af1902-0513-5,bm,E_Af1902-0513-5,Axe,axe,"Africa, Oceania and the Americas",,,1891-1901 (c.),iron,Purchased from: Fritz Schindler,1902,"Found/Acquired: Zambia , Upper Zambesi river",Made in: Zambia,"Found/Acquired: Zambia , Upper Zambesi river",http://media.britishmuseum.org/media/Repository/Documents/2014_11/11_7/1fce3ce6_65d9_4fd9_96b4_a3e0007a1b97/preview_01567464_001.jpg,https://www.britishmuseum.org/collection/object/E_Af1902-0513-5
bm:E_Af1904-110-d-g,bm,E_Af1904-110-d-g,Animal Remains,animal remains,"Africa, Oceania and the Americas",,,,ostrich feather,Donated by: Adrian J Maclean,1904,Found/Acquired: Kenya,Made in: Kenya,Found/Acquired: Kenya,http://media.britishmuseum.org/media/Repository/Documents/2014_10/8_21/abf26c42_30fc_4400_b458_a3be0160312a/preview_00470560_001.jpg,https://www.britishmuseum.org/collection/object/E_Af1904-110-d-g
bm:E_Af1905-0525-3,bm,E_Af1905-0525-3,Figure,figure,"Africa, Oceania and the Americas",,,19thC(late),wood,Purchased from: H L Sparrow (price £25 for the collection),1905,Found/Acquired: Congo (historic),"Made in: Democratic Republic of Congo , Lower Congo region",Found/Acquired: Congo (historic),http://media.britishmuseum.org/media/Repository/Documents/2023_8/22_14/41108f57_e0fb_4e52_ba2f_b06600eb2a58/preview_EAF35209.jpg,https://www.britishmuseum.org/collection/object/E_Af1905-0525-3
bm:E_Af1913-118,bm,E_Af1913-118,Armlet,armlet,"Africa, Oceania and the Americas",,,1913 (before),bone,Donated by: Philip Norman,1913,Found/Acquired: Mendeland,Made in: Sierra Leone,Found/Acquired: Mendeland,http://media.britishmuseum.org/media/Repository/Documents/2014_10/9_18/20762565_5b3b_47ab_9375_a3bf01343b6f/preview_00537418_001.jpg,https://www.britishmuseum.org/collection/object/E_Af1913-118
bm:E_Af1913-43,bm,E_Af1913-43,Adze,adze,"Africa, Oceania and the Americas",,,,stone,Donated by: Dr Franz de Zeltner,1913,Excavated/Findspot: Yelimané,Made in: Mali,Excavated/Findspot: Yelimané,,https://www.britishmuseum.org/collection/object/E_Af1913-43
bm:E_Af1921-1028-4,bm,E_Af1921-1028-4,Spear,spear,"Africa, Oceania and the Americas",,,,iron,Donated by: Mrs Selous,1921,Found/Acquired: South Africa,Made in: South Africa,Found/Acquired: South Africa,http://media.britishmuseum.org/media/Repository/Documents/2016_8/15_9/47ba7bee_1a76_44dd_96b1_a66300948ff2/preview_EAF40632.jpg,https://www.britishmuseum.org/collection/object/E_Af1921-1028-4
