objectID,sourceMuseum,sourceObjectID,title,objectName,department,culture,period,objectDate,medium,creditLine,accessionYear,excavation,productionPlace,findspot,primaryImage,objectURL
bm:E_Am-St-397-a,bm,E_Am-St-397-a,Series: The Turquoise Mosaics,shield (?),"Africa, Oceania and the Americas",Aztec,Aztec,1400 - 1521,turquoise,Purchased from: William Adams,1866,,Made in: Mexico,,http://media.britishmuseum.org/media/Repository/Documents/2014_10/1_7/1eb33315_9778_4ec8_8033_a3b7007815a5/preview_00035749_001.jpg,https://www.britishmuseum.org/collection/object/E_Am-St-397-a
bm:E_Am-St-809-A,bm,E_Am-St-809-A,Vase,vase,"Africa, Oceania and the Americas",,,1862 (ca),pottery,Bequeathed by: Henry Christy,1865,Found/Acquired: Trinidad (West Indies),Made in: Trinidad (West Indies),Found/Acquired: Trinidad (West Indies),,https://www.britishmuseum.org/collection/object/E_Am-St-809-A
bm:E_Am-St-809-b,bm,E_Am-St-809-b,Water-Bottle,water-bottle,"Africa, Oceania and the Americas",,,1861 (ca),pottery,Bequeathed by: Henry Christy,1865,"Field Collection by: George Dennis — Found/Acquired: Essequibo, River",Made in: Guyana,"Found/Acquired: Essequibo, River",,https://www.britishmuseum.org/collection/object/E_Am-St-809-b
bm:E_Am-WG-2242,bm,E_Am-WG-2242,Adze,adze,"Africa, Oceania and the Americas",,,19thC(early),bronze,Donated by: John Pierpont Morgan,1909,Field Collection by: Rev. Canon William Greenwell — Excavated/Findspot: Cuenca (Ecuador),,Excavated/Findspot: Cuenca (Ecuador),http://media.britishmuseum.org/media/Repository/Documents/2022_5/11_14/1be7952b_4fe2_426e_ac3f_ae9200e87062/preview_am_wg_2242__a_.jpg,https://www.britishmuseum.org/collection/object/E_Am-WG-2242
bm:E_Am1855-1211-49,bm,E_Am1855-1211-49,Vessel,vessel,"Africa, Oceania and the Americas","Moche (style, but uncertain authenticity?)","Moche (style, but uncertain authenticity?)",100BC-700 (?),pottery,Purchased from: William Bollaert,1855,"Field Collection by: William Bollaert — Excavated/Findspot: Trujillo (Peru) , tomb",Made in: North Coast Peru,"Excavated/Findspot: Trujillo (Peru) , tomb",http://media.britishmuseum.org/media/Repository/Documents/2014_10/10_13/280ed63d_eb2a_46e1_9fc9_a3c000e23d6c/preview_00561131_001.jpg,https://www.britishmuseum.org/collection/object/E_Am1855-1211-49
bm:E_Am1919-1216-11,bm,E_Am1919-1216-11,Apron,apron,"Africa, Oceania and the Americas",,,19thC,skin,Purchased from: Lieutenant Henry Reginald Shipster,1919,"Excavated/Findspot: Haida Gwaii , grave",,"Excavated/Findspot: Haida Gwaii , grave",http://media.britishmuseum.org/media/Repository/Documents/2019_11/21_16/57e0f6c3_5368_4455_9cbd_ab0c010893b2/preview_am1919_1216_11__a_.jpg,https://www.britishmuseum.org/collection/object/E_Am1919-1216-11
bm:E_Am1928-0516-2,bm,E_Am1928-0516-2,Bell,bell,"Africa, Oceania and the Americas",Quimbaya (?),Quimbaya (?),,gold,Donated by: A Naylor,1928,Excavated/Findspot: Santa Marta (Valle de Cauca) (?),,Excavated/Findspot: Santa Marta (Valle de Cauca) (?),http://media.britishmuseum.org/media/Repository/Documents/2014_11/11_7/8885f26a_4822_4e63_ab1e_a3e0007fff97/preview_01569583_001.jpg,https://www.britishmuseum.org/collection/object/E_Am1928-0516-2
bm:E_Am1930-F-1,bm,E_Am1930-F-1,Object: The Fenton Vase,beaker,"Africa, Oceania and the Americas",Late Classic Maya,Late Classic Maya,600-800,pottery,Purchased from: Charles Ludwig Fenton,1930,Excavated/Findspot: Nebaj,,Excavated/Findspot: Nebaj,http://media.britishmuseum.org/media/Repository/Documents/2014_10/1_6/d25136a1_ebe9_4535_abdb_a3b7006eff93/preview_00033072_001.jpg,https://www.britishmuseum.org/collection/object/E_Am1930-F-1
bm:E_Am1953-02-1,bm,E_Am1953-02-1,Adorno,adorno,"Africa, Oceania and the Americas",,,,pottery,Purchased from: C J McAndle,1953,Found/Acquired: Brazil (country),,Found/Acquired: Brazil (country),,https://www.britishmuseum.org/collection/object/E_Am1953-02-1
bm:E_Am1982-28-13,bm,E_Am1982-28-13,Bag,bag,"Africa, Oceania and the Americas",,,1858 (circa),pelican beak,Purchased from: Warwickshire Museum,1982,Field Collection by: Major George Seton — Found/Acquired: Northwest Territories,,Found/Acquired: Northwest Territories,http://media.britishmuseum.org/media/Repository/Documents/2014_10/5_6/f80b5343_c551_434f_9c9d_a3bb00686a19/preview_00308522_001.jpg,https://www.britishmuseum.org/collection/object/E_Am1982-28-13
bm:E_Am1983-12-35,bm,E_Am1983-12-35,Animal Remains,animal remains,"Africa, Oceania and the Americas",,,1900-1950 (circa),feather,Purchased from: Robert Huber,1983,Found/Acquired: Aroma (Bolivia),,Found/Acquired: Aroma (Bolivia),,https://www.britishmuseum.org/collection/object/E_Am1983-12-35
bm:E_Am1983-Q-37,bm,E_Am1983-Q-37,Artefact,artefact,"Africa, Oceania and the Americas",,,,wood,,,Found/Acquired: Venezuela,,Found/Acquired: Venezuela,,https://www.britishmuseum.org/collection/object/E_Am1983-Q-37
bm:E_Am1991-Q-4,bm,E_Am1991-Q-4,Bowl,bowl,"Africa, Oceania and the Americas",Inca,Inca,1400-1532,basalt (?),,,Excavated/Findspot: Peru,,Excavated/Findspot: Peru,http://media.britishmuseum.org/media/Repository/Documents/2014_10/3_6/ddd1a60d_886c_4074_86ee_a3b9006e70d5/preview_00346164_001.jpg,https://www.britishmuseum.org/collection/object/E_Am1991-Q-4
bm:E_Am1997-Q-793,bm,E_Am1997-Q-793,Figure,figure,"Africa, Oceania and the Americas",Taino (Chican Ostionoid),Taino (Chican Ostionoid),1220-1280 (circa (calibrated radiocarbon dates 1224-1282)),wood,,,Found/Acquired: Jamaica,Made in: Jamaica,Found/Acquired: Jamaica,http://media.britishmuseum.org/media/Repository/Documents/2014_10/5_21/80d37ba7_2162_455c_9464_a3bb015f5346/preview_00378378_001.jpg,https://www.britishmuseum.org/collection/object/E_Am1997-Q-793
bm:E_Oc-6509,bm,E_Oc-6509,Adze,adze,"Africa, Oceania and the Americas",,,,basalt,Donated by: Julius Lucius Brenchley (1865),1870,Found/Acquired: Vava'u,Made in: Tonga,Found/Acquired: Vava'u,http://media.britishmuseum.org/media/Repository/Documents/2022_7/11_13/3fca349c_1706_428d_b512_aecf00e2c443/preview_EOC3586.jpg,https://www.britishmuseum.org/collection/object/E_Oc-6509
bm:E_Oc-HAW-138,bm,E_Oc-HAW-138,Cape,cape,"Africa, Oceania and the Americas",,,18thC,olona fibre,Donated by: Sir Joseph Banks,,Found/Acquired: Hawaii,Made in: Hawaiian Islands,Found/Acquired: Hawaii,http://media.britishmuseum.org/media/Repository/Documents/2023_2/22_14/88fcae55_b887_4c07_9bcc_afb100e77cf6/preview_Oc_HAW_138_02.jpg,https://www.britishmuseum.org/collection/object/E_Oc-HAW-138
bm:E_Oc1848-0202-1,bm,E_Oc1848-0202-1,Club,club,"Africa, Oceania and the Americas",,,19thC (before 1846),wood,Donated by: Sir Thomas Mitchell,1848,Found/Acquired: Queensland (50 miles NE of St George),Made in: Australia,Found/Acquired: Queensland (50 miles NE of St George),http://media.britishmuseum.org/media/Repository/Documents/2020_11/27_12/d3640719_412b_4401_80d3_ac8000c9ea25/preview_EOC1142.jpg,https://www.britishmuseum.org/collection/object/E_Oc1848-0202-1
bm:E_Oc1869-1005-1,bm,E_Oc1869-1005-1,"Hoa Hakananaiʿa ('lost, hidden or stolen friend')",figure,"Africa, Oceania and the Americas",,,1000 -1200 (approx),basalt (ma'ea pupura),Donated by: Queen Victoria,1869,"Field Collection by: Cdre Richard Ashmore Powell — Found/Acquired: Orongo, ceremonial centre",Made in: Rano Kao (likely),"Found/Acquired: Orongo, ceremonial centre",http://media.britishmuseum.org/media/Repository/Documents/2014_9/30_14/075fadd4_0ca9_4147_a598_a3b600e6e577/preview_00012842_001.jpg,https://www.britishmuseum.org/collection/object/E_Oc1869-1005-1
bm:E_Oc1889-0208-13,bm,E_Oc1889-0208-13,Mask,mask,"Africa, Oceania and the Americas",,,19thC,palm leaf (?),Donated by: Commander Charles Cross,1889,Found/Acquired: Ambrym,,Found/Acquired: Ambrym,http://media.britishmuseum.org/media/Repository/Documents/2022_9/26_8/48330b3f_92de_4a39_bfc4_af1c00908956/preview_EOC6770.jpg,https://www.britishmuseum.org/collection/object/E_Oc1889-0208-13
bm:E_Oc1896-1154,bm,E_Oc1896-1154,Club,club,"Africa, Oceania and the Americas",,,,wood,Purchased from: Royal United Services Institute,1896,Found/Acquired: Fiji,,Found/Acquired: Fiji,http://media.britishmuseum.org/media/Repository/Documents/2022_6/28_12/6a2afabe_0d3b_41d7_9fc9_aec200c737ef/preview_EOC9549.jpg,https://www.britishmuseum.org/collection/object/E_Oc1896-1154
bm:E_Oc1921-1102-3,bm,E_Oc1921-1102-3,Canoe,canoe,"Africa, Oceania and the Americas",,,,wood,,1921,"Found/Acquired: Solomon Islands (possibly Isabel, by style)",,"Found/Acquired: Solomon Islands (possibly Isabel, by style)",http://media.britishmuseum.org/media/Repository/Documents/2023_2/8_15/a479be27_4124_4907_b7af_afa300f7d711/preview_EOC15346.jpg,https://www.britishmuseum.org/collection/object/E_Oc1921-1102-3
bm:E_Oc1949-08-1,bm,E_Oc1949-08-1,Adze,adze,"Africa, Oceania and the Americas",,,,stone,Purchased from: B Mallen,1949,Found/Acquired: Ramu River,Made in: New Guinea,Found/Acquired: Ramu River,http://media.britishmuseum.org/media/Repository/Documents/2024_8/9_9/37ca4a9a_e0f1_4a25_a742_b1c7009cec52/preview_EOC21183.jpg,https://www.britishmuseum.org/collection/object/E_Oc1949-08-1
bm:G_1816-0610-98,bm,G_1816-0610-98,Series: The Parthenon Sculptures,statue,Greek and Roman,Classical Greek,Classical Greek,438BC-432BC,marble,"Purchased from: Thomas Bruce, 7th Earl of Elgin",,Excavated/Findspot: Parthenon,Made in: Athens,Excavated/Findspot: Parthenon,,https://www.britishmuseum.org/collection/object/G_1816-0610-98
