objectID,sourceMuseum,sourceObjectID,title,objectName,department,culture,period,objectDate,medium,creditLine,accessionYear,excavation,placeOfCreation,placeOfDiscovery,provenance,primaryImage,objectURL
louvre:cl010140480,louvre,cl010140480,L'Adorant de Larsa,figurine,Département des Antiquités orientales,,Date de création/fabrication : 1ère dynastie de Babylone : Hammurabi (-1792 - -1750),Date de création/fabrication : 1ère dynastie de Babylone : Hammurabi (-1792 - -1750),"Matériau : cuivre
Matériau secondaire : or
Technique : coulé fondu, plaqué (doré)",achat (1931),1931,Larsa = Senkereh,,Larsa = Senkereh,,https://collections.louvre.fr/media/cache/large/0000000021/0000140480/0000214964_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010140480
louvre:cl010141456,louvre,cl010141456,Vase d'Ishtar,vase,Département des Antiquités orientales,,Date de création/fabrication : Larsa (-2025 - -1763),Date de création/fabrication : Larsa (-2025 - -1763),"Matériau : terre cuite
Technique : incisé (décor), polychromie (Traces de peinture noire, blanche et rouge), modelé",partage après fouilles,,Larsa tombe 15 (1933),,Larsa tombe 15,,https://collections.louvre.fr/media/cache/large/0000000021/0000141456/0000572123_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010141456
louvre:cl010144553,louvre,cl010144553,"Peinture de ""l'Investiture""",peinture murale,Département des Antiquités orientales,,Date de création/fabrication : Dynasties amorites (début IIe mill) (-2000 - -1800),Date de création/fabrication : Dynasties amorites (début IIe mill) (-2000 - -1800),"Matériau : argile
Technique : peint",partage après fouilles,,Mari palais de Zimri-Lim cour 106 (1935-1936),,Mari palais de Zimri-Lim cour 106,,https://collections.louvre.fr/media/cache/large/0000000021/0000144553/0000217097_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010144553
louvre:cl010151190,louvre,cl010151190,Lance colossale inscrite au nom d'un roi de Kish,lance,Département des Antiquités orientales,,Date de création/fabrication : Dynastique archaïque II (Vers 2600 av. J. - C.) (-2700 - -2600),Date de création/fabrication : Dynastique archaïque II (Vers 2600 av. J. - C.) (-2700 - -2600),Matériau : cuivre,don après fouilles (1896),1896,Girsu = Tello,,Girsu = Tello,,https://collections.louvre.fr/media/cache/large/0000000021/0000151190/0000220344_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010151190
louvre:cl010174452,louvre,cl010174452,Kudurru de Meli-Shipak,kudurru,Département des Antiquités orientales,,"Date de création/fabrication : Kassite : Melishipak = Kassite : Melishihu (-1186 - -1172)
Date de réutilisation : Médio-élamite (-1500 - -1100)","Date de création/fabrication : Kassite : Melishipak = Kassite : Melishihu (-1186 - -1172)
Date de réutilisation : Médio-élamite (-1500 - -1100)","Matériau : calcaire
Technique : bas-relief, gravé",partage après fouilles,,Suse acropole (Tranchée 7α. Apporté de Babylonie à Suse en butin de guerre au XIIe s. av. J.-C.) (1898),Babylonie = Sumer,Suse acropole (Tranchée 7α. Apporté de Babylonie à Suse en butin de guerre au XIIe s. av. J.-C.),,https://collections.louvre.fr/media/cache/large/0000000021/0000174452/0000227378_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010174452
louvre:cl010186847,louvre,cl010186847,vase,vase,Département des Antiquités orientales,,Date de création/fabrication : Suse I (-4000 - -3500),Date de création/fabrication : Suse I (-4000 - -3500),"Matériau : terre cuite
Technique : modelé, peint (décor)",partage après fouilles,,Suse acropole nécropole (1898-1908),,Suse acropole nécropole,,https://collections.louvre.fr/media/cache/large/0000000021/0000186847/0000226727_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010186847
louvre:cl010250571,louvre,cl010250571,Hermaphrodite endormi,statue,"Département des Antiquités grecques, étrusques et romaines",,"Epoque / période : romain impérial

Date de création/fabrication : 1e moitié IIe s. ap. J.-C. (100 - 150)","Epoque / période : romain impérial

Date de création/fabrication : 1e moitié IIe s. ap. J.-C. (100 - 150)","Matériau : marbre (marbre de Carrare ?)
Technique : ronde-bosse (sculpture)",achat (1807),1807,Rome - 1618 (thermes de Dioclétien) (1618),Rome,Rome - 1618 (thermes de Dioclétien),,https://collections.louvre.fr/media/cache/large/0000000021/0000250571/0000625259_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010250571
louvre:cl010252531,louvre,cl010252531,Victoire de Samothrace,statue ; base de statue,"Département des Antiquités grecques, étrusques et romaines",,"Epoque / période : hellénistique

Date de création/fabrication : 1e quart IIe s. av. J.-C. (-200 - -175)","Epoque / période : hellénistique

Date de création/fabrication : 1e quart IIe s. av. J.-C. (-200 - -175)","Matériau : marbre de Paros (statue), marbre de Lartos (navire, socle)
Technique : ronde-bosse (sculpture) (Le buste et les ailes de la statue ont été travaillés à part et rapportés. Des pans de draperie à l'arrière et sur le sol ont été également rapportés. Présence de surfaces de joint au bras droit, au mollet gauche, au pied droit, à l'avant de la draperie. La base est constituée de 16 blocs répartis sur trois assises. Le socle est constitué de 6 dalles juxtaposées.), taillé",affecté au Louvre (1864),1864,Samothrace Paléopolis - 1863 (Cabirion) (1863),Rhodes (?),Samothrace Paléopolis - 1863 (Cabirion),,https://collections.louvre.fr/media/cache/large/0000000021/0000252531/0000632582_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010252531
louvre:cl010256592,louvre,cl010256592,tiare de Saitapharnes,casque,"Département des Antiquités grecques, étrusques et romaines",,"Epoque / période : époque contemporaine

Date de création/fabrication : XIXe s. ap. J.-C. (œuvre de Rouchomowsky à la fin du XIXe s. ap. J.-C.) (1800 - 1900)","Epoque / période : époque contemporaine

Date de création/fabrication : XIXe s. ap. J.-C. (œuvre de Rouchomowsky à la fin du XIXe s. ap. J.-C.) (1800 - 1900)","Matériau : or
Technique : feuilles (mise en forme), martelage = martelé (métal) (mise en forme), soudé = soudure (métal) (mise en forme), repoussé (métal) (décor), ciselé = ciselure (décor)",achat (1896),1896,Inconnu,,Inconnu,,https://collections.louvre.fr/media/cache/original/0000000021/0000256592/0000754999_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010256592
louvre:cl010257735,louvre,cl010257735,Apollon de Piombino,statue,"Département des Antiquités grecques, étrusques et romaines",,"Epoque / période : romain ; style archaïsant

Date de création/fabrication : 4e quart IIe s. av. J.-C. (datation incertaine) (-125 - -100)","Epoque / période : romain ; style archaïsant

Date de création/fabrication : 4e quart IIe s. av. J.-C. (datation incertaine) (-125 - -100)","Matériau : bronze
Matériau secondaire : argent (inscription), cuivre (sourcils, lèvres, mamelons)
Technique : fonte en creux (coulé = fondu = fonte), incrustation = incrusté (traces dans les yeux), gravé = gravure (mèches)
Précision technique : fonte en plusieurs morceaux ; trace des attributs rapportés dans les mains",achat (1834),1834,Piombino - 1832 (dans la mer) (1832),Rhodes,Piombino - 1832 (dans la mer),,https://collections.louvre.fr/media/cache/large/0000000021/0000257735/0000633059_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010257735
