objectID,title,objectName,department,culture,period,dynasty,objectDate,medium,creditLine,accessionYear,excavation,geographyType,origin_label,origin_precision,origin_lat,origin_lon,met_lat,met_lon,primaryImage,objectURL,objectWikidata_URL
314262,Twin Figure: Female (Ibeji),Twin figure,The Michael C. Rockefeller Wing,Yoruba peoples,,,19th–20th century,"Wood, beads, camwood powder","Gift of Dr. Jeffrey S. Hammer, 1980",1980,,,Nigeria,country,9.082,8.6753,40.7794,-73.9632,,https://www.metmuseum.org/art/collection/search/314262,
314266,Heddle Pulley: Female Figure,Heddle pulley,The Michael C. Rockefeller Wing,Asante,,,19th–20th century,Wood,"Gift of Mr. and Mrs. Robert S. Gilliam Jr., 1980",1980,,,Ghana,country,7.9465,-1.0232,40.7794,-73.9632,,https://www.metmuseum.org/art/collection/search/314266,
314270,Heddle Pulley with Figure,Heddle pulley,The Michael C. Rockefeller Wing,Baule peoples,,,19th–20th century,Wood,"Gift of Mr. and Mrs. Robert S. Gilliam Jr., 1980",1980,,,central Côte d'Ivoire,region,7.54,-5.5471,40.7794,-73.9632,,https://www.metmuseum.org/art/collection/search/314270,
314274,Heddle Pulley with Figure,Heddle pulley,The Michael C. Rockefeller Wing,Baule peoples,,,19th–mid-20th century,"Wood, iron","Gift of Mr. and Mrs. Robert S. Gilliam Jr., 1980",1980,,,central Côte d'Ivoire,region,7.54,-5.5471,40.7794,-73.9632,,https://www.metmuseum.org/art/collection/search/314274,
316716,Whistle,Whistle,The Michael C. Rockefeller Wing,Cupisnique,,,1200–500 BCE,Ceramic,"Gift of Conny and Fred Landmann, 1992",1992,,,Peru,country,-9.19,-75.0152,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/ao/original/DP-24270-001.jpg,https://www.metmuseum.org/art/collection/search/316716,
316720,Stirrup Spout Bottle: Frog,Bottle,The Michael C. Rockefeller Wing,Moche,,,2nd–5th century,Ceramic,"Gift of Conny and Fred Landmann, 1992",1992,,,Peru,country,-9.19,-75.0152,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/ao/original/DP-23894-001.jpg,https://www.metmuseum.org/art/collection/search/316720,
316724,Serpent (tunjo),Figure,The Michael C. Rockefeller Wing,Muisca,,,10th–16th century,Gold,"Jan Mitchell and Sons Collection, Gift of Jan Mitchell, 1992",1992,,,Colombia,country,4.5709,-74.2973,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/ao/original/DP-32945-001.jpg,https://www.metmuseum.org/art/collection/search/316724,
316728,Bird Pendant,Pendant,The Michael C. Rockefeller Wing,Muisca,,,10th–16th century,Gold (cast),"Purchase, Gifts in memory of Alice K. Bache, and Rogers Fund, 1992",1992,,,Colombia,country,4.5709,-74.2973,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/ao/original/DT6877.jpg,https://www.metmuseum.org/art/collection/search/316728,
321470,Stamp seal (scaraboid) with monster,Stamp seal,Ancient West Asian Art,Assyrian,Neo-Assyrian,,late 8th–7th century BCE,Mottled black and brown Limestone,"The Cesnola Collection, Purchased by subscription, 1874–76",1874,,,Northern Syria or eastern Anatolia,region,37.0,39.0,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/ss74_51_4390gp.jpg,https://www.metmuseum.org/art/collection/search/321470,
322066,Cuneiform tablet: fragment of the witness list of a contract (?),Cuneiform tablet,Ancient West Asian Art,Babylonian or Achaemenid,Neo-Babylonian or Achaemenid,,ca. 7th–4th century BCE,Clay,"Purchase, 1886",1886,,,Mesopotamia,region,33.0,44.0,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/vs86.11.508.jpg,https://www.metmuseum.org/art/collection/search/322066,
322624,Relief: procession of captives,Relief,Ancient West Asian Art,Assyrian,Neo-Assyrian,,ca. 704–681 BCE,Gypsum alabaster,"Gift of John D. Rockefeller Jr., 1932",1932,,,Mesopotamia,region,33.0,44.0,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/DP-13006-007.jpg,https://www.metmuseum.org/art/collection/search/322624,
323174,Lamp,Lamp,Ancient West Asian Art,Israelite,Iron Age II,,ca. late 8th–7th century BCE,Ceramic,"Gift of Harris D. and H. Dunscombe Colt, 1934",1934,,,Levant,region,33.5,36.0,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/me34_126_64.jpg,https://www.metmuseum.org/art/collection/search/323174,
323610,Plaque fragment,Relief,Ancient West Asian Art,Old Assyrian Trading Colony,Middle Bronze Age–Old Assyrian Trading Colony,,ca. 18th century BCE,Ivory,"Gift of Mrs. George D. Pratt, in memory of George D. Pratt, 1937",1937,,,probably from Acemhöyük,subregion,38.19,34.17,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/DP110518.jpg,https://www.metmuseum.org/art/collection/search/323610,
324116,Female head with elaborate hairstyle,Sculpture,Ancient West Asian Art,,Early Dynastic IIIa,,ca. 2600–2500 BCE,Gypsum alabaster,"Rogers Fund and Gifts of Lucy W. Drexel, Theodore M. Davis, Helen Miller Gould, Albert Gallatin, Egypt Exploration Fund and Egyptian Research Account, by exchange, 1950",1951,,,Mesopotamia,region,33.0,44.0,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/DP-32540-001.jpg,https://www.metmuseum.org/art/collection/search/324116,
325417,Jar,Jar,Ancient West Asian Art,Sumerian,Early Dynastic IIIa,,ca. 2600–2500 BCE,Gypsum alabaster,"Rogers Fund, 1962",1962,,,Nippur,subregion,32.13,45.24,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/DP-15117-010.jpg,https://www.metmuseum.org/art/collection/search/325417,
326082,Ornament,Ornament,Ancient West Asian Art,,Early Bronze Age,,ca. late 3rd millennium BCE,Faience,"Rogers Fund, 1972",1972,,,Tell Taya,subregion,36.4,42.0,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/DP-40342-001.jpg,https://www.metmuseum.org/art/collection/search/326082,
326373,Cuneiform tablet case impressed with cylinder seal in Anatolian style,Cuneiform tablet case,Ancient West Asian Art,Old Assyrian Trading Colony,Middle Bronze Age–Old Assyrian Trading Colony,,ca. 20th–19th century BCE,Clay,"Purchase, Mrs. Peter Oliver Gift, 1977",1977,,,probably from Kültepe (Karum Kanesh),subregion,38.85,35.62,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/me 1977_371.jpg,https://www.metmuseum.org/art/collection/search/326373,
327079,Cylinder seal,Cylinder seal,Ancient West Asian Art,Syrian,Middle Bronze Age,,ca. 18th–17th century BCE,"Hematite, black","Gift of Martin and Sarah Cherkasky, 1985",1985,,,Syria,region,34.8021,38.9968,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/ss1985_192_10.jpg,https://www.metmuseum.org/art/collection/search/327079,
327547,Harness or bridle fitting (?) in the form of a mistress of animals and waterbirds,Harness or bridle fitting (?),Ancient West Asian Art,,Iron Age,,ca. 7th–6th century BCE,Bronze,"Purchase, Raymond and Beverly Sackler Gift, 1999",1999,,,Iberian Peninsula,region,40.0,-4.0,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/DP-37951-001.jpg,https://www.metmuseum.org/art/collection/search/327547,
328095,Silver drachm,,Ancient West Asian Art,Seleucid,Seleucid,,ca. 145–141 BCE,Silver,"Bequest of Charles K. Wilkinson, 1986",1987,,,Syria,region,34.8021,38.9968,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/DP-40315-001.jpg,https://www.metmuseum.org/art/collection/search/328095,
328593,Monstrous male figure,Sculpture,Ancient West Asian Art,Bactria-Margiana Archaeological Complex,Bronze Age,,ca. late 3rd–early 2nd millennium BCE,"Chlorite, calcite, gold, iron","Purchase, 2009 Benefit Fund, Friends of Inanna Gifts, and Mr. and Mrs. Horiuchi Gift, 2010",2010,,,Bactria-Margiana or eastern Iran,region,36.0,62.0,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/dp22227.jpg,https://www.metmuseum.org/art/collection/search/328593,
329067,Foundation figure of Ur-Namma holding a basket,Foundation figure,Ancient West Asian Art,Neo-Sumerian,Ur III,,ca. 2112–2095 BCE,Copper alloy,"Gift of Mrs. William H. Moore, 1947",1947,,,Mesopotamia,region,33.0,44.0,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/DP375097.jpg,https://www.metmuseum.org/art/collection/search/329067,
891607,Urn with Assyrian scenes,Urn,Ancient West Asian Art,French,Victorian,,1851,"Slate, bronze","Henrietta and Christopher McCall Collection, Purchase, Henrie Jo Barth Bequest, and Museum Acquisitions and Josephine Lois Berger-Nadler Endowment Funds, 2023",2023,,,,unresolved,,,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/DP-33307-001.jpg,https://www.metmuseum.org/art/collection/search/891607,
918237,Human-headed winged bulls,Winged bull,Ancient West Asian Art,British,Victorian,,1850–1900,Bronze,"Henrietta and Christopher McCall Collection, Purchase, Henrie Jo Barth Bequest, and Museum Acquisitions and Josephine Lois Berger-Nadler Endowment Funds, 2023",2023,,,,unresolved,,,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/DP-33300-001.jpg,https://www.metmuseum.org/art/collection/search/918237,
969159,Drone Hits Great Ziggurat of Ur,"Drawing, ""Drone Hits Great Ziggurat of Ur""",Ancient West Asian Art,,Modern,,2016,"pencil, ink and watercolor on paper","Museum Acquisitions Fund, 2025",2025,,,,unresolved,,,40.7794,-73.9632,,https://www.metmuseum.org/art/collection/search/969159,
322910,Necklace beads,Beads,Ancient West Asian Art,Sumerian,Early Dynastic IIIa,,ca. 2600–2500 BCE,"Gold, lapis lazuli","Dodge Fund, 1933",1933,,,Ur (modern Tell al-Muqayyar),subregion,30.9626,46.1039,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/DP-23659-001.jpg,https://www.metmuseum.org/art/collection/search/322910,
323950,Tripod bowl,Bowl,Ancient West Asian Art,Iran,Middle Bronze Age,,ca. 2000–1600 BCE,Ceramic,"Rogers Fund, 1943",1943,,,Kamterlan II,subregion,33.5,47.5,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/ME43_89_8.jpg,https://www.metmuseum.org/art/collection/search/323950,
324797,Section of a band with felines and heads of birds,Relief,Ancient West Asian Art,Iran,"Iron Age, Scythian",,ca. 7th century BCE,"Gold, glass paste","Funds from various donors, 1958",1958,,,said to be from Ziwiye,subregion,36.05,47.3,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/DP-26515-001.jpg,https://www.metmuseum.org/art/collection/search/324797,
325572,Ivory fragment,Relief,Ancient West Asian Art,Assyrian,Neo-Assyrian,,ca. 9th–7th century BCE,Ivory,"Rogers Fund, 1962",1962,,,Nimrud (ancient Kalhu),subregion,36.0994,43.325,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/DP110697.jpg,https://www.metmuseum.org/art/collection/search/325572,
326466,Bead,Bead,Ancient West Asian Art,Parthian,Parthian,,ca. 1st century BCE–1st century CE,Glass,"Purchase, H. Dunscombe Colt Gift, 1978",1978,,,Shahr-i Qumis (ancient Hecatompylos),subregion,35.95,54.38,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/DP-40313-001.jpg,https://www.metmuseum.org/art/collection/search/326466,
327754,Cylinder seal,Cylinder seal,Ancient West Asian Art,,Old Syrian,,ca. 1820–1730 BCE,Hematite,"Gift of Nanette B. Kelekian, in memory of Charles Dikran and Beatrice Kelekian, 1999",1999,,,Syria,region,34.8021,38.9968,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/DP-38142-001.jpg,https://www.metmuseum.org/art/collection/search/327754,
328744,Earring,Earring,Ancient West Asian Art,Parthian,Parthian,,ca. 1st–2nd century,Gold,Museum Accession,,,,Mesopotamia or Iran,region,33.5,45.5,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/DP-1115-001.jpg,https://www.metmuseum.org/art/collection/search/328744,
820847,Orthostates,,Ancient West Asian Art,,,,2017-ongoing,32 charcoal on paper drawings,"Purchase, Henrie Jo Barth Bequest and Josephine Lois Berger-Nadler Endowment Fund, 2019",2019,,,,unresolved,,,40.7794,-73.9632,,https://www.metmuseum.org/art/collection/search/820847,
781871,Persian Travelogue: A Diary of a Journey through the region of Fars,Persian Travelogue,Ancient West Asian Art,Qajar,,,1838 CE,"Black ink on paper; blue velvet binding with a flap, tight back case binding sewn onto two cotton/hemp cords (laced in), with marbled paper doublures","Purchase, Friends of Ancient Near Eastern Art and The Ishtar Society Gifts, 2019",2019,,,Iran,region,32.4279,53.688,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/an/original/TR_18774E.jpg,https://www.metmuseum.org/art/collection/search/781871,
