objectID,origin_label,origin_label_en,origin_precision,origin_lat,origin_lon,origin_country,origin_country_en,museum_lat,museum_lon
met:307730,Mesoamérica,Mesoamerica,region,19.0,-99.0,México,Mexico,40.7794,-73.9632
met:307734,Mesoamérica,Mesoamerica,region,19.0,-99.0,México,Mexico,40.7794,-73.9632
met:307738,Mesoamérica,Mesoamerica,region,19.0,-99.0,México,Mexico,40.7794,-73.9632
met:309028,Peru,Peru,country,-9.19,-75.0152,Perú,Peru,40.7794,-73.9632
met:309032,Peru,Peru,country,-9.19,-75.0152,Perú,Peru,40.7794,-73.9632
met:309036,Peru,Peru,country,-9.19,-75.0152,Perú,Peru,40.7794,-73.9632
met:309040,Peru,Peru,country,-9.19,-75.0152,Perú,Peru,40.7794,-73.9632
met:311551,Indonesia,Indonesia,country,-0.7893,113.9213,Indonesia,Indonesia,40.7794,-73.9632
met:311555,Indonesia,Indonesia,country,-0.7893,113.9213,Indonesia,Indonesia,40.7794,-73.9632
met:311559,Indonesia,Indonesia,country,-0.7893,113.9213,Indonesia,Indonesia,40.7794,-73.9632
met:311563,Indonesia,Indonesia,country,-0.7893,113.9213,Indonesia,Indonesia,40.7794,-73.9632
met:314262,Nigeria,Nigeria,country,9.082,8.6753,Nigeria,Nigeria,40.7794,-73.9632
met:314266,Ghana,Ghana,country,7.9465,-1.0232,Ghana,Ghana,40.7794,-73.9632
met:314270,centro de Costa de Marfil,central Côte d'Ivoire,region,7.54,-5.5471,Costa de Marfil,Côte d'Ivoire,40.7794,-73.9632
met:314274,centro de Costa de Marfil,central Côte d'Ivoire,region,7.54,-5.5471,Costa de Marfil,Côte d'Ivoire,40.7794,-73.9632
met:316716,Peru,Peru,country,-9.19,-75.0152,Perú,Peru,40.7794,-73.9632
met:316720,Peru,Peru,country,-9.19,-75.0152,Perú,Peru,40.7794,-73.9632
met:316724,Colombia,Colombia,country,4.5709,-74.2973,Colombia,Colombia,40.7794,-73.9632
met:316728,Colombia,Colombia,country,4.5709,-74.2973,Colombia,Colombia,40.7794,-73.9632
met:321470,norte de Siria o este de Anatolia,Northern Syria or eastern Anatolia,region,37.0,39.0,Turquía,Turkey,40.7794,-73.9632
met:322066,Mesopotamia,Mesopotamia,region,33.0,44.0,Irak,Iraq,40.7794,-73.9632
met:322624,Mesopotamia,Mesopotamia,region,33.0,44.0,Irak,Iraq,40.7794,-73.9632
met:322910,Ur (modern Tell al-Muqayyar),Ur (modern Tell al-Muqayyar),subregion,30.9626,46.1039,Irak,Iraq,40.7794,-73.9632
met:323174,Levante,Levant,region,33.5,36.0,Siria,Syria,40.7794,-73.9632
