objectID,origin_label,origin_label_en,origin_precision,origin_lat,origin_lon,origin_country,origin_country_en,museum_lat,museum_lon
louvre:cl010174063,Kerman,Kerman,site,30.2839,57.0834,Irán,Iran,48.8606,2.3376
louvre:cl010174445,Susa,Susa,site,32.1881,48.2578,Irán,Iran,48.8606,2.3376
louvre:cl010174451,Susa,Susa,site,32.1881,48.2578,Irán,Iran,48.8606,2.3376
louvre:cl010174452,Susa,Susa,site,32.1881,48.2578,Irán,Iran,48.8606,2.3376
louvre:cl010174453,Susa,Susa,site,32.1881,48.2578,Irán,Iran,48.8606,2.3376
louvre:cl010174456,Susa,Susa,site,32.1881,48.2578,Irán,Iran,48.8606,2.3376
louvre:cl010174457,Susa,Susa,site,32.1881,48.2578,Irán,Iran,48.8606,2.3376
louvre:cl010174482,Susa,Susa,site,32.1881,48.2578,Irán,Iran,48.8606,2.3376
louvre:cl010176829,Susa,Susa,site,32.1881,48.2578,Irán,Iran,48.8606,2.3376
louvre:cl010186847,Susa,Susa,site,32.1881,48.2578,Irán,Iran,48.8606,2.3376
louvre:cl010250162,Paros,Paros,site,37.0853,25.1488,Grecia,Greece,48.8606,2.3376
louvre:cl010250164,Thasos,Thasos,site,40.7833,24.7,Grecia,Greece,48.8606,2.3376
louvre:cl010250475,Atenas,Athens,site,37.9838,23.7275,Grecia,Greece,48.8606,2.3376
louvre:cl010250571,Roma,Rome,site,41.9028,12.4964,Italia,Italy,48.8606,2.3376
louvre:cl010252531,Samotracia,Samothrace,site,40.4708,25.5228,Grecia,Greece,48.8606,2.3376
louvre:cl010256592,"Odesa, Ucrania (lugar de fabricación de la falsificación)","Odesa, Ukraine (where the forgery was made)",editorial,46.4825,30.7233,Ucrania,Ukraine,48.8606,2.3376
louvre:cl010257735,Rodas,Rhodes,site,36.4341,28.2176,Grecia,Greece,48.8606,2.3376
louvre:cl010258136,Alcalá de los Gazules,Alcalá de los Gazules,site,36.4667,-5.7167,España,Spain,48.8606,2.3376
louvre:cl010258335,Argos,Argos,site,37.6333,22.7333,Grecia,Greece,48.8606,2.3376
louvre:cl010262830,Sicilia,Sicily,country,37.5,14.0,Italia,Italy,48.8606,2.3376
louvre:cl010264064,Tebas,Thebes,site,25.7188,32.6081,Egipto,Egypt,48.8606,2.3376
louvre:cl010268234,Cerveteri,Cerveteri,site,41.995,12.103,Italia,Italy,48.8606,2.3376
louvre:cl010268439,Atenas,Athens,site,37.9838,23.7275,Grecia,Greece,48.8606,2.3376
louvre:cl010269688,Atenas,Athens,site,37.9838,23.7275,Grecia,Greece,48.8606,2.3376
louvre:cl010269994,Atenas,Athens,site,37.9838,23.7275,Grecia,Greece,48.8606,2.3376
