objectID,research_status,context_flags,associated_communities_or_states,notes
met:543890,documented,colonial_administration;partage,Egypt,"Excavado/asignado bajo el Servicio de Antiguedades Egipcio, dirigido por el frances Pierre Lacau (1914-1936), bajo administracion fuertemente influida por Gran Bretana incluso tras la independencia nominal de Egipto en 1922. Ver ensayo del Met sobre su propia expedicion: https://www.metmuseum.org/essays/the-egyptian-expedition-1906-1936"
met:543909,documented,colonial_administration;partage,Egypt,"Excavado/asignado bajo el Servicio de Antiguedades Egipcio, dirigido por el frances Pierre Lacau (1914-1936), bajo administracion fuertemente influida por Gran Bretana incluso tras la independencia nominal de Egipto en 1922. Ver ensayo del Met sobre su propia expedicion: https://www.metmuseum.org/essays/the-egyptian-expedition-1906-1936"
met:543917,documented,colonial_administration;partage,Egypt,"Excavado/asignado bajo el Servicio de Antiguedades Egipcio, dirigido por el frances Pierre Lacau (1914-1936), bajo administracion fuertemente influida por Gran Bretana incluso tras la independencia nominal de Egipto en 1922. Ver ensayo del Met sobre su propia expedicion: https://www.metmuseum.org/essays/the-egyptian-expedition-1906-1936"
met:543921,documented,colonial_administration;state_sale,Egypt,"Excavado/asignado bajo el Servicio de Antiguedades Egipcio, dirigido por el frances Pierre Lacau (1914-1936), bajo administracion fuertemente influida por Gran Bretana incluso tras la independencia nominal de Egipto en 1922. Ver ensayo del Met sobre su propia expedicion: https://www.metmuseum.org/essays/the-egyptian-expedition-1906-1936"
met:543875,documented,colonial_administration;state_sale,Egypt,"Excavado/asignado bajo el Servicio de Antiguedades Egipcio, dirigido por el frances Pierre Lacau (1914-1936), bajo administracion fuertemente influida por Gran Bretana incluso tras la independencia nominal de Egipto en 1922. Ver ensayo del Met sobre su propia expedicion: https://www.metmuseum.org/essays/the-egyptian-expedition-1906-1936"
